season,year,jabs,pos,season_mean,jabs_adj,Predict,Predict_Adj,Abs-Diff,Squared-Error
Winter,2013,85,1,81.33333333,54.51844262,,,,
Spring,2013,50,2,42.33333333,61.61417323,,,,
Summer,2013,48,3,43.66666667,57.34351145,,,,
Autumn,2013,34,4,41.33333333,42.91129032,,,,
Winter,2014,78,5,81.33333333,50.02868852,54.09685441,84.34269952,6.342699521,40.22983722
Spring,2014,44,6,42.33333333,54.22047244,52.97441588,42.98882311,1.011176889,1.0224787
Summer,2014,39,7,43.66666667,46.59160305,51.12599068,42.7955577,3.795557698,14.40625824
Autumn,2014,43,8,41.33333333,54.27016129,48.43801359,38.37900118,4.620998821,21.3536301
Winter,2015,81,9,81.33333333,51.95286885,51.27773133,79.94738942,1.052610582,1.107989038
Spring,2015,33,10,42.33333333,40.66535433,51.75877641,42.00232974,9.002329738,81.04194071
Summer,2015,44,11,43.66666667,52.5648855,48.36999688,40.48862359,3.511376412,12.32976431
Autumn,2015,47,12,41.33333333,59.31854839,49.86331749,39.50831546,7.491684543,56.12533729
,,,,,,,,,
,,,,,,,MAD,4.603554275,
,,,,,,,,MSE,28.45215445
