Month,Sales of shampoo over a three year period
01-Jan,266
01-Feb,145.9
01-Mar,183.1
01-Apr,119.3
01-May,180.3
01-Jun,168.5
01-Jul,231.8
01-Aug,224.5
01-Sep,192.8
01-Oct,122.9
01-Nov,336.5
01-Dec,185.9
02-Jan,194.3
02-Feb,149.5
02-Mar,210.1
02-Apr,273.3
02-May,191.4
02-Jun,287
02-Jul,226
02-Aug,303.6
02-Sep,289.9
02-Oct,421.6
02-Nov,264.5
02-Dec,342.3
03-Jan,339.7
03-Feb,440.4
03-Mar,315.9
03-Apr,439.3
03-May,401.3
03-Jun,437.4
03-Jul,575.5
03-Aug,407.6
03-Sep,682
03-Oct,475.3
03-Nov,581.3
03-Dec,646.9
